"id","hotel_name","continent","country","city","address","services","eco_mark"
"104","NH Klösterle Nördlingen","Europe","Allemagne","Nördlingen"," Beim Klösterle 1, 86720 Nördlingen Allemagne","Wi-Fi gratuit|Parking|Centre sportif|Spa|100%|Eco-friendly|Animaux|Occasions spéciales|Réunions|98 Chambres","True"
"105","NH Collection Nürnberg City","Europe","Allemagne","Nuremberg"," Bahnhofstr. 17-19, 90402 Nuremberg Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|244 Chambres","True"
"106","NH Oberhausen","Europe","Allemagne","Oberhausen"," Düppelstr. 2, 46045 Oberhausen Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Occasions spéciales|Réunions|172 Chambres","False"
"107","NH Potsdam","Europe","Allemagne","Potsdam"," Friedrich-Ebert-Str. 88, 14467 Potsdam Allemagne","Wi-Fi gratuit|Parking|Centre sportif|Navette|Spa|Eco-friendly|Animaux|Golf|Occasions spéciales|Réunions|143 Chambres","True"
"108","NH Schwerin","Europe","Allemagne","Schwerin"," Zum Schulacker 1, 19061 Schwerin Allemagne","Wi-Fi gratuit|Parking|100%|Eco-friendly|Animaux|Accessibilité|Golf|Occasions spéciales|Réunions|144 Chambres","True"
"109","NH Stuttgart Airport","Europe","Allemagne","Stuttgart"," Bonländer Hauptstr. 145, 70794 Filderstadt Stuttgart Allemagne","Parking|Centre sportif|Climatisation - Contrôle de la climatisation|Navette|100%|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|208 Chambres","True"
"110","NH Stuttgart Sindelfingen","Europe","Allemagne","Stuttgart"," Riedmühlestr. 18-20, 71063 Sindelfingen Stuttgart Allemagne","Wi-Fi gratuit|Parking|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Occasions spéciales|Réunions|103 Chambres","True"
"111","NH Weinheim","Europe","Allemagne","Weinheim"," Breslauer Str. 52, 69469 Weinheim Allemagne","Wi-Fi gratuit|Parking|100%|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|187 Chambres","True"
"112","NH Wiesbaden","Europe","Allemagne","Wiesbaden"," Aukamm Allee 31, 65191 Wiesbaden Allemagne","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Occasions spéciales|Réunions|130 Chambres","True"
"113","NH Andorra La Vella","Europe","Andorre","Andorra La Vella"," Avinguda Doctor Mitjavila, 1 AD500 Andorra La Vella Andorre","Wi-Fi gratuit|Parking|100%|Climatisation - Contrôle de la climatisation|60 Chambres","False"
"114","NH Graz City","Europe","Autriche","Graz"," Karmeliterplatz 4a/4b, 8010 Graz Autriche","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Occasions spéciales|Réunions|157 Chambres","False"
"115","NH Salzburg City","Europe","Autriche","Salzbourg"," Franz-Josef-Strasse 26, A-5020 Salzbourg Autriche","Wi-Fi gratuit|Parking|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Golf|Occasions spéciales|Réunions|140 Chambres","True"
"116","NH Collection Wien Zentrum","Europe","Autriche","Vienne"," Mariahilfer Strasse 78, A-1070 Vienne Autriche","Wi-Fi gratuit|Parking|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Baby-sitter|73 Chambres","True"
"117","NH Danube City","Europe","Autriche","Vienne"," Wagramer Strasse 21, 1220 Vienne Autriche","Wi-Fi gratuit|Centre sportif|Spa|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Occasions spéciales|Réunions|252 Chambres","True"
"118","NH Vienna Airport Conference Center","Europe","Autriche","Vienne"," Einfahrtsstrasse 1- 3, 1300 Flughafen Wien Vienne Autriche","Wi-Fi gratuit|Parking|Centre sportif|Spa|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Occasions spéciales|Réunions|499 Chambres","True"
"119","NH Wien Belvedere","Europe","Autriche","Vienne"," Rennweg 12a,  A-1030 Vienne Autriche","Wi-Fi gratuit|Parking|Centre sportif|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|114 Chambres","True"
"120","NH Wien City","Europe","Autriche","Vienne"," Mariahilfer Straße 32-34 (via Lindeng. 9), 1070 Vienne Autriche","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|105 Chambres","True"
"121","NH Collection Antwerp Centre","Europe","Belgique","Anvers"," Pelikaanstraat 84 2018 Anvers Belgique","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Réunions|186 Chambres","True"
"122","NH Brugge","Europe","Belgique","Bruges"," Boeveriestraat 2, 8000 Bruges Belgique","Wi-Fi gratuit|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|149 Chambres","True"
"123","NH Brussels Airport","Europe","Belgique","Bruxelles"," De Kleetlaan, 14, B-1831 Diegem Bruxelles Belgique","Wi-Fi gratuit|Parking|Centre sportif|Navette|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|234 Chambres","True"
